District,County Abbreviation,County Name,Route
1,DN,Del Norte,101
1,DN,Del Norte,169
1,DN,Del Norte,197
1,DN,Del Norte,199
1,HUM,Humboldt,36
1,HUM,Humboldt,96
1,HUM,Humboldt,101
1,HUM,Humboldt,169
1,HUM,Humboldt,200
1,HUM,Humboldt,211
1,HUM,Humboldt,254
1,HUM,Humboldt,255
1,HUM,Humboldt,271
1,HUM,Humboldt,283
1,HUM,Humboldt,299
1,LAK,Lake,20
1,LAK,Lake,29
1,LAK,Lake,53
1,LAK,Lake,175
1,LAK,Lake,281
1,MEN,Mendocino,1
1,MEN,Mendocino,20
1,MEN,Mendocino,101
1,MEN,Mendocino,128
1,MEN,Mendocino,162
1,MEN,Mendocino,175
1,MEN,Mendocino,222
1,MEN,Mendocino,253
1,MEN,Mendocino,271
2,LAS,Lassen,36
2,LAS,Lassen,44
2,LAS,Lassen,70
2,LAS,Lassen,139
2,LAS,Lassen,147
2,LAS,Lassen,299
2,LAS,Lassen,395
2,MOD,Modoc,139
2,MOD,Modoc,299
2,MOD,Modoc,395
2,PLU,Plumas,36
2,PLU,Plumas,49
2,PLU,Plumas,70
2,PLU,Plumas,89
2,PLU,Plumas,147
2,PLU,Plumas,284
2,SHA,Shasta,5
2,SHA,Shasta,36
2,SHA,Shasta,44
2,SHA,Shasta,89
2,SHA,Shasta,151
2,SHA,Shasta,273
2,SHA,Shasta,299
2,SIS,Siskiyou,3
2,SIS,Siskiyou,5
2,SIS,Siskiyou,89
2,SIS,Siskiyou,96
2,SIS,Siskiyou,97
2,SIS,Siskiyou,139
2,SIS,Siskiyou,161
2,SIS,Siskiyou,263
2,SIS,Siskiyou,265
2,TEH,Tehama,5
2,TEH,Tehama,32
2,TEH,Tehama,36
2,TEH,Tehama,89
2,TEH,Tehama,99
2,TEH,Tehama,172
2,TRI,Trinity,3
2,TRI,Trinity,36
2,TRI,Trinity,299
3,BUT,Butte,32
3,BUT,Butte,70
3,BUT,Butte,99
3,BUT,Butte,149
3,BUT,Butte,162
3,BUT,Butte,191
3,COL,Colusa,5
3,COL,Colusa,16
3,COL,Colusa,20
3,COL,Colusa,45
3,ED,El Dorado,49
3,ED,El Dorado,50
3,ED,El Dorado,89
3,ED,El Dorado,153
3,ED,El Dorado,193
3,GLE,Glenn,5
3,GLE,Glenn,32
3,GLE,Glenn,45
3,GLE,Glenn,162
3,NEV,Nevada,20
3,NEV,Nevada,49
3,NEV,Nevada,80
3,NEV,Nevada,89
3,NEV,Nevada,174
3,NEV,Nevada,267
3,PLA,Placer,20
3,PLA,Placer,28
3,PLA,Placer,49
3,PLA,Placer,65
3,PLA,Placer,80
3,PLA,Placer,89
3,PLA,Placer,174
3,PLA,Placer,193
3,PLA,Placer,267
3,SAC,Sacramento,5
3,SAC,Sacramento,12
3,SAC,Sacramento,16
3,SAC,Sacramento,50
3,SAC,Sacramento,51
3,SAC,Sacramento,80
3,SAC,Sacramento,99
3,SAC,Sacramento,104
3,SAC,Sacramento,160
3,SAC,Sacramento,220
3,SAC,Sacramento,244
3,SAC,Sacramento,275
3,SIE,Sierra,49
3,SIE,Sierra,80
3,SIE,Sierra,89
3,SIE,Sierra,395
3,SUT,Sutter,20
3,SUT,Sutter,70
3,SUT,Sutter,99
3,SUT,Sutter,113
3,YOL,Yolo,5
3,YOL,Yolo,16
3,YOL,Yolo,45
3,YOL,Yolo,50
3,YOL,Yolo,80
3,YOL,Yolo,84
3,YOL,Yolo,113
3,YOL,Yolo,128
3,YOL,Yolo,275
3,YOL,Yolo,505
3,YUB,Yuba,20
3,YUB,Yuba,49
3,YUB,Yuba,65
3,YUB,Yuba,70
4,ALA,Alameda,13
4,ALA,Alameda,24
4,ALA,Alameda,61
4,ALA,Alameda,77
4,ALA,Alameda,80
4,ALA,Alameda,84
4,ALA,Alameda,92
4,ALA,Alameda,112
4,ALA,Alameda,123
4,ALA,Alameda,185
4,ALA,Alameda,205
4,ALA,Alameda,238
4,ALA,Alameda,260
4,ALA,Alameda,262
4,ALA,Alameda,580
4,ALA,Alameda,680
4,ALA,Alameda,880
4,ALA,Alameda,980
4,CC,Contra Costa,4
4,CC,Contra Costa,24
4,CC,Contra Costa,80
4,CC,Contra Costa,123
4,CC,Contra Costa,160
4,CC,Contra Costa,242
4,CC,Contra Costa,580
4,CC,Contra Costa,680
4,MRN,Marin,1
4,MRN,Marin,37
4,MRN,Marin,101
4,MRN,Marin,131
4,MRN,Marin,580
4,NAP,Napa,12
4,NAP,Napa,29
4,NAP,Napa,80
4,NAP,Napa,121
4,NAP,Napa,128
4,NAP,Napa,221
4,SCL,Santa Clara,9
4,SCL,Santa Clara,17
4,SCL,Santa Clara,25
4,SCL,Santa Clara,35
4,SCL,Santa Clara,82
4,SCL,Santa Clara,85
4,SCL,Santa Clara,87
4,SCL,Santa Clara,101
4,SCL,Santa Clara,130
4,SCL,Santa Clara,152
4,SCL,Santa Clara,156
4,SCL,Santa Clara,237
4,SCL,Santa Clara,280
4,SCL,Santa Clara,680
4,SCL,Santa Clara,880
4,SF,San Francisco,1
4,SF,San Francisco,35
4,SF,San Francisco,80
4,SF,San Francisco,82
4,SF,San Francisco,101
4,SF,San Francisco,280
4,SM,San Mateo,1
4,SM,San Mateo,35
4,SM,San Mateo,82
4,SM,San Mateo,84
4,SM,San Mateo,92
4,SM,San Mateo,101
4,SM,San Mateo,109
4,SM,San Mateo,114
4,SM,San Mateo,280
4,SM,San Mateo,380
4,SOL,Solano,12
4,SOL,Solano,29
4,SOL,Solano,37
4,SOL,Solano,80
