EfisProjectId,Id,ProjectEa,ProjectName,District,CountyCode,RouteCode,PostMileBegin,PostMileEnd,ScheduleStartDate,ScheduleFinishDate,M040_BeginProj,M800_ENDPROJ
0100000005,03/07/1923,01-26200,0100000005 - Construct 4-Lane Expressway,01,MEN,101,43.1,49,32448,47362,35977,46752
0100000078,03/31/1923,01-29030,0100000078 - Construct Interchange and Frontage Roads,01,HUM,101,57,59.1,33239,46909,36069,46573
0100000079,04/03/1923,01-29171,0100000079 - Reconstruct Tie Back Retaining Wall,01,MEN,001,37.8,38.2,36348,42898,36708,42797
0100000080,10/04/1976,01-29200,0100000080 - Construct 2-Way Left Turn Lane,01,MEN,020,0.3,2.4,33970,42396,37601,42396
0100000081,04/06/1923,01-29301,0100000081 - RAIL UPGRADE AND WIDEN (SCOUR),01,MEN,101,10.2,11.2,43333,43333,,
0100000082,04/08/1923,01-29313,0100000082 - RAIL UPGRADE AND WIDEN,01,59V01,101,0,0,35719,42921,,42432
0100000083,04/09/1923,01-29314,0100000083 - Replace Bridge,01,DN,199,10.9,11.2,37070,42369,,41904
0100000084,04/19/1923,01-29610,0100000084 - Replace Bridges (Scour),01,HUM,101,89.3,90.2,33239,46909,36831,46573
0100000086,04/20/1923,01-29670,0100000086 - SEISMIC RETROFIT,01,HUM,255,0.2,1.9,33239,47786,35855,47452
0100000088,04/24/1923,01-29770,0100000088 - ROADWAY REHABILITATION,01,MEN,020,33.3,37.9,33604,43041,35247,42970
0100000090,04/25/1923,01-2981U,0100000090 - Convert to 4-lane Expressway,01,LAK,029,23.8,31.6,35977,46266,37073,43707
0100000094,05/07/1923,01-30790,0100000094 - REALIGN HIGHWAY TO RETREAT FROM SLIPOUT,01,MEN,001,10.2,11.2,33970,43465,36495,42823
0100000095,05/10/1923,01-31010,0100000095 - Bridge Replacement (Scour),01,MEN,001,33.6,33.7,33604,48004,35977,47669
0100000097,05/17/1923,01-3116U,0100000097 - Upgrade Rail and Widen,01,MEN,162,0.5,3.5,35613,43830,35977,42445
0100000098,05/18/1923,01-31171,0100000098 - BRIDGE REPLACEMENT,01,DN,169,2.5,2.7,36161,41822,,
0100000099,05/24/1923,01-31440,0100000099 - BRIDGE REPLACEMENT;LEFT (SCOUR),01,HUM,101,56.2,57.5,34335,43493,36056,42850
0100000101,10/05/1976,01-32330,0100000101 - WIDEN SHOULDERS,01,HUM,036,5.8,7.6,34335,44763,36387,44386
0100000102,06/03/1923,01-32470,0100000102 - Stabilize Roadway,01,DN,101,14.8,15.6,34274,43285,35977,42647
0100000116,10/06/1976,01-34540,0100000116 - SHOULDER WIDENING/LEFT TURN CHANNELIZATION,01,DN,101,43.6,45.8,35074,42522,37408,42177
